[01:32:33] [main/INFO]: Loading Minecraft 1.19.3 with Fabric Loader 0.14.14
[01:32:33] [main/INFO]: Loading 3 mods:
	- fabricloader 0.14.14
	- java 17
	- minecraft 1.19.3
[01:32:33] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=file:/workspaces/mcserver/libraries/net/fabricmc/sponge-mixin/0.11.4+mixin.0.8.5/sponge-mixin-0.11.4+mixin.0.8.5.jar Service=Knot/Fabric Env=SERVER
[01:32:40] [main/INFO]: Building unoptimized datafixer
[01:32:43] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[01:32:47] [main/INFO]: Loaded 7 recipes
[01:32:47] [main/INFO]: Loaded 1179 advancements
[01:32:49] [Server thread/INFO]: Starting minecraft server version 1.19.3
[01:32:49] [Server thread/INFO]: Loading properties
[01:32:49] [Server thread/INFO]: Default game type: SURVIVAL
[01:32:49] [Server thread/INFO]: Generating keypair
[01:32:49] [Server thread/INFO]: Starting Minecraft server on *:25565
[01:32:49] [Server thread/INFO]: Using epoll channel type
[01:32:49] [Server thread/INFO]: Preparing level "world"
[01:33:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:33:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[01:34:07] [Worker-Main-1/INFO]: Preparing spawn area: 2%
[01:34:08] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[01:34:08] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[01:34:09] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[01:34:09] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[01:34:09] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[01:34:10] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[01:34:10] [Worker-Main-1/INFO]: Preparing spawn area: 18%
[01:34:10] [Worker-Main-1/INFO]: Preparing spawn area: 22%
[01:34:11] [Worker-Main-1/INFO]: Preparing spawn area: 26%
[01:34:12] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[01:34:12] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[01:34:13] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[01:34:13] [Worker-Main-1/INFO]: Preparing spawn area: 33%
[01:34:14] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[01:34:15] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[01:34:15] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[01:34:15] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[01:34:16] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[01:34:16] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[01:34:17] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[01:34:17] [Worker-Main-1/INFO]: Preparing spawn area: 68%
[01:34:18] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[01:34:18] [Worker-Main-1/INFO]: Preparing spawn area: 80%
[01:34:21] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:34:21] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:34:21] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:34:21] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:34:21] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[01:34:23] [Server thread/INFO]: Time elapsed: 78517 ms
[01:34:23] [Server thread/INFO]: Done (93.844s)! For help, type "help"
